Unnamed: 0.1,Unnamed: 0,disease,workout
,,COVID-19,Complete rest during acute illness
,,COVID-19,Light walking during recovery
,,COVID-19,Breathing exercises (diaphragmatic)
,,COVID-19,Gentle stretching post-recovery
,,COVID-19,Avoid strenuous activity until cleared by doctor
,,Appendicitis,Complete bed rest post-surgery
,,Appendicitis,Short walks after 24-48 hours
,,Appendicitis,Avoid lifting heavy objects for 4-6 weeks
,,Appendicitis,Gradual return to normal activity
,,Appendicitis,Light stretching during late recovery
,,Kidney Stones,Stay well hydrated during exercise
,,Kidney Stones,Light walking and gentle cardio
,,Kidney Stones,Avoid high-impact exercise during acute episodes
,,Kidney Stones,Swimming and cycling are good choices
,,Kidney Stones,Consult doctor before resuming intense workouts
,,Iron Deficiency Anemia,Light aerobic exercise like walking
,,Iron Deficiency Anemia,Yoga and stretching
,,Iron Deficiency Anemia,Avoid overexertion until iron levels improve
,,Iron Deficiency Anemia,Gradually increase exercise intensity
,,Iron Deficiency Anemia,Swimming for low-impact cardio
,,Anxiety Disorder,"Regular aerobic exercise (30 min, 5 days/week)"
,,Anxiety Disorder,Yoga and meditation
,,Anxiety Disorder,Deep breathing exercises daily
,,Anxiety Disorder,Walking in nature
,,Anxiety Disorder,Swimming or cycling
,,Clinical Depression,"Daily moderate exercise (walking, jogging)"
,,Clinical Depression,Yoga and mindfulness sessions
,,Clinical Depression,Group fitness activities for social engagement
,,Clinical Depression,Outdoor activities in sunlight
,,Clinical Depression,Resistance training 3 times weekly
,,Chronic Sinusitis,Avoid outdoor exercise on high pollen days
,,Chronic Sinusitis,Swimming in chlorinated pools may irritate sinuses
,,Chronic Sinusitis,Light indoor exercise
,,Chronic Sinusitis,Breathing exercises
,,Chronic Sinusitis,Yoga focusing on breathing techniques
,,Tonsillitis,Complete rest during acute illness
,,Tonsillitis,Light walking when fever-free
,,Tonsillitis,Avoid strenuous activity until fully recovered
,,Tonsillitis,Gargling as a throat exercise
,,Tonsillitis,Gentle yoga post-recovery
,,Ear Infection,Avoid swimming until infection clears
,,Ear Infection,Light walking is acceptable
,,Ear Infection,"No activities that increase ear pressure (diving, flying)"
,,Ear Infection,Balance exercises post-recovery
,,Ear Infection,Gentle neck exercises
,,Conjunctivitis,Avoid swimming until cleared
,,Conjunctivitis,Light exercise is fine if feeling well
,,Conjunctivitis,Protect eyes from dust and wind outdoors
,,Conjunctivitis,No contact sports during infection
,,Conjunctivitis,Normal activities with good hygiene
,,Shingles,Rest during acute phase
,,Shingles,Gentle walking when able
,,Shingles,Avoid contact sports
,,Shingles,Gentle stretching away from rash area
,,Shingles,Progressive return to normal activity post-recovery
,,Measles,Complete bed rest during acute illness
,,Measles,No exercise until fever-free for 48 hours
,,Measles,Light walking during recovery
,,Measles,Gradual return to activity
,,Measles,Avoid contact sports for 2 weeks post-recovery
,,Gout,"Low-impact exercise (swimming, cycling)"
,,Gout,Avoid high-impact exercise during flare-ups
,,Gout,Maintain healthy weight through exercise
,,Gout,Walking regularly
,,Gout,Range-of-motion exercises for joints
,,Irritable Bowel Syndrome,Regular moderate exercise (reduces symptoms)
,,Irritable Bowel Syndrome,Yoga for stress and digestive health
,,Irritable Bowel Syndrome,Walking after meals
,,Irritable Bowel Syndrome,Avoid intense exercise that triggers symptoms
,,Irritable Bowel Syndrome,Swimming and cycling are good choices
,,Pancreatitis,Complete rest during acute episodes
,,Pancreatitis,Very gentle walking during recovery
,,Pancreatitis,Avoid strenuous activity for weeks
,,Pancreatitis,Gradual return to light exercise
,,Pancreatitis,No alcohol-fuelled social activities
,,Meningitis,Complete bed rest during acute illness
,,Meningitis,Very gradual return to activity over weeks
,,Meningitis,Light walking as first step
,,Meningitis,Avoid contact sports for 3-6 months
,,Meningitis,Guided physiotherapy if neurological effects
,,Chronic Kidney Disease,"Regular low-impact exercise (walking, swimming)"
,,Chronic Kidney Disease,Avoid overexertion
,,Chronic Kidney Disease,Resistance training to prevent muscle wasting
,,Chronic Kidney Disease,Yoga for flexibility
,,Chronic Kidney Disease,Consult nephrologist before starting exercise program
,,PCOS,Regular aerobic exercise 150 min/week
,,PCOS,Resistance training to improve insulin sensitivity
,,PCOS,Yoga to manage stress and hormones
,,PCOS,HIIT workouts 2-3 times weekly
,,PCOS,Swimming and cycling
,,Celiac Disease,Regular moderate exercise is beneficial
,,Celiac Disease,Yoga to aid digestion
,,Celiac Disease,Walking and swimming
,,Celiac Disease,Build intensity gradually as nutrition improves
,,Celiac Disease,No specific restrictions once in remission
,,Fibromyalgia,"Low-impact aerobic exercise (aqua therapy, walking)"
,,Fibromyalgia,Gentle stretching daily
,,Fibromyalgia,Yoga and Tai Chi
,,Fibromyalgia,Gradually increase duration before intensity
,,Fibromyalgia,Avoid overexertion that causes symptom flare
,,Lupus,Low-to-moderate intensity exercise
,,Lupus,Avoid exercise in intense sun and heat
,,Lupus,Swimming and water aerobics
,,Lupus,Yoga for joint flexibility
,,Lupus,Rest during flares; exercise during remission
,,Multiple Sclerosis,"Regular low-impact exercise (swimming, cycling)"
,,Multiple Sclerosis,Yoga and stretching for flexibility
,,Multiple Sclerosis,Balance and coordination exercises
,,Multiple Sclerosis,Cool down before and after to manage heat sensitivity
,,Multiple Sclerosis,Physiotherapy-guided exercise program
,,Parkinson's Disease,Regular aerobic exercise
,,Parkinson's Disease,Balance and gait training
,,Parkinson's Disease,Tai Chi for stability and coordination
,,Parkinson's Disease,Resistance training for muscle strength
,,Parkinson's Disease,Dance therapy (shown to improve motor function)
,,Epilepsy,Regular moderate exercise is safe and beneficial
