Unnamed: 0,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
,Appendicitis,seek emergency care immediately,avoid eating or drinking,do not apply heat to abdomen,follow surgeon instructions post-op
,Kidney Stones,drink plenty of water,reduce sodium and oxalate foods,avoid prolonged dehydration,consult a urologist
,Iron Deficiency Anemia,eat iron-rich foods,take iron supplements as prescribed,avoid tea and coffee with meals,get regular blood tests
,Anxiety Disorder,practice deep breathing exercises,limit caffeine intake,maintain regular sleep schedule,seek therapy or counselling
,Clinical Depression,consult a mental health professional,maintain a routine,exercise regularly,reach out to supportive people
,Chronic Sinusitis,use saline nasal rinse,avoid allergens and pollutants,stay hydrated,consult an ENT specialist
,Tonsillitis,rest and drink warm fluids,gargle with warm salt water,avoid cold drinks and ice cream,consult a doctor for antibiotics
,Ear Infection,avoid inserting objects in ear,keep ear dry,complete prescribed antibiotic course,follow up with ENT if persistent
,Conjunctivitis,avoid touching or rubbing eyes,wash hands frequently,do not share towels or pillows,use prescribed eye drops
,Shingles,consult a doctor early for antivirals,keep rash clean and dry,avoid contact with pregnant or immunocompromised people,manage pain with prescribed medication
,Measles,isolate to prevent spread,rest and stay hydrated,take vitamin A supplements,monitor for complications like pneumonia
,Gout,avoid high-purine foods like red meat and alcohol,stay well hydrated,take prescribed medications,maintain a healthy weight
,Irritable Bowel Syndrome,identify and avoid trigger foods,manage stress effectively,eat smaller and more frequent meals,keep a food and symptom diary
,Pancreatitis,avoid alcohol completely,follow a low-fat diet,rest and stay hydrated,seek urgent medical care for acute episodes
,Meningitis,seek emergency medical care immediately,complete the full antibiotic course,get vaccinated if eligible,monitor recovery closely
,Chronic Kidney Disease,follow a kidney-friendly low-potassium diet,control blood pressure and blood sugar,avoid NSAIDs and nephrotoxic drugs,attend regular nephrology checkups
,PCOS,maintain a healthy weight,exercise regularly,follow a low glycaemic index diet,consult a gynaecologist for hormonal management
,Celiac Disease,strictly follow a gluten-free diet,read food labels carefully,avoid cross-contamination,get regular nutritional monitoring
,Fibromyalgia,maintain a gentle exercise routine,prioritise quality sleep,manage stress through mindfulness,work with a rheumatologist
,Lupus,avoid prolonged sun exposure,use sunscreen daily,take prescribed immunosuppressants,monitor for organ involvement regularly
,Multiple Sclerosis,take disease-modifying therapy as prescribed,exercise regularly within your limits,manage fatigue with rest and pacing,maintain a support network
,Parkinson's Disease,take medications on a strict schedule,engage in physical therapy and exercise,maintain home safety to prevent falls,consult a neurologist regularly
,Epilepsy,take anti-epileptic medication consistently,avoid seizure triggers like sleep deprivation,do not drive until seizure-free as advised,wear a medical alert bracelet
,Gallstones,follow a low-fat diet,maintain a healthy weight,avoid rapid weight loss,consult a gastroenterologist for treatment options
