Disease,Diet
Anxiety Disorder,"['Magnesium-rich foods (nuts, seeds)', 'Omega-3 fatty acids', 'Reduce caffeine and alcohol', 'Chamomile and herbal teas', 'Probiotic-rich foods']"
Clinical Depression,"['Mediterranean diet', 'Omega-3 rich foods (fish, walnuts)', 'Folate-rich foods (leafy greens)', 'Reduce sugar and processed foods', 'Tryptophan-rich foods (turkey, eggs)']"
Chronic Sinusitis,"['Anti-inflammatory foods (berries, ginger)', 'Warm fluids and herbal teas', 'Reduce dairy (can thicken mucus)', 'Vitamin C-rich citrus', 'Spicy foods (can clear sinuses)']"
Tonsillitis,"['Cold foods for comfort (ice cream, yogurt)', 'Warm broths and soups', 'Soft easily swallowed foods', 'Honey and ginger tea', 'Stay hydrated with water']"
Ear Infection,"['Anti-inflammatory foods', 'Vitamin C and zinc-rich foods', 'Garlic (natural antibiotic)', 'Warm fluids', 'Avoid dairy if mucus-promoting']"
Conjunctivitis,"['Vitamin A-rich foods (carrots, sweet potato)', 'Omega-3 fatty acids', 'Antioxidant-rich foods', 'Stay well hydrated', 'Zinc-rich foods']"
Shingles,"['High-lysine foods (fish, chicken, eggs)', 'Avoid arginine-rich foods (nuts, chocolate)', 'Vitamin B12-rich foods', 'Anti-inflammatory diet', 'Plenty of fluids']"
Measles,"['Vitamin A-rich foods (sweet potato, carrots)', 'Soft easy-to-eat foods', 'Broths and soups', 'Citrus for vitamin C', 'Stay well hydrated']"
Gout,"['Low-purine diet (avoid red meat, shellfish)', 'Cherry juice or cherries', 'Reduce alcohol especially beer', 'Increase water intake', 'Low-fat dairy products']"
Irritable Bowel Syndrome,"['Low-FODMAP diet', 'Soluble fibre (oats, bananas)', 'Avoid trigger foods (onions, garlic, cabbage)', 'Small frequent meals', 'Stay well hydrated']"
Pancreatitis,"['Clear liquids initially', 'Low-fat diet', 'Small frequent meals', 'Avoid alcohol completely', 'High-protein low-fat foods during recovery']"
Meningitis,"['Nutrient-dense soft foods', 'High-calorie diet for recovery', 'Vitamin C and antioxidants', 'Probiotics post-antibiotics', 'Stay well hydrated']"
Chronic Kidney Disease,"['Low potassium foods', 'Low phosphorus diet', 'Limit protein intake', 'Reduce sodium', 'Restrict fluid intake if advised']"
PCOS,"['Low-glycaemic index foods', 'Anti-inflammatory diet', 'High-fibre vegetables', 'Lean proteins', 'Avoid refined sugars and processed foods']"
Celiac Disease,"['Strict gluten-free diet (no wheat, rye, barley)', 'Rice, quinoa, and gluten-free grains', 'Certified gluten-free oats', 'Fresh fruits and vegetables', 'Lean meats and fish']"
Fibromyalgia,"['Anti-inflammatory foods', 'Avoid MSG and artificial additives', 'Magnesium-rich foods', 'Increase antioxidants', 'Reduce caffeine and alcohol']"
Lupus,"['Anti-inflammatory diet', 'Omega-3-rich foods', 'Calcium and vitamin D (for bone health)', 'Avoid alfalfa sprouts', 'Low-sodium diet']"
Multiple Sclerosis,"['Anti-inflammatory diet', 'Vitamin D-rich foods', 'Omega-3 fatty acids', 'High-fibre diet', 'Avoid processed and fast foods']"
Parkinson's Disease,"['Mediterranean diet', 'High-fibre foods for constipation', 'Antioxidant-rich berries', 'Avoid high-protein meals near levodopa', 'Stay hydrated']"
Epilepsy,"['Ketogenic diet (medically supervised)', 'Regular meal schedule', 'Avoid skipping meals', 'Stay hydrated', 'Limit alcohol']"
Gallstones,"['Low-fat diet', 'High-fibre diet', 'Avoid fried and greasy foods', 'Maintain healthy weight gradually', 'Olive oil in moderation']"
